month,year,days_in_month,weekend_days,public_holiday_count_kr,public_holiday_weekday_count_kr,nonworking_days_weekend_or_holiday,longest_consecutive_nonwork_days,long_weekend_3plus_days_in_month,holiday_names_kr,is_summer_peak_jun_aug,is_vacation_peak_jul_aug,kbo_regular_games,kbo_regular_game_days,is_kbo_regular_season,kbo_postseason_games,kbo_postseason_game_days,is_kbo_postseason,sports_major_event_days,is_sports_major_event_month,olympics_days,fifa_world_cup_days,asian_games_days,sports_major_event_names,regional_festival_count_planned,regional_festival_days_est,regional_festival_offline_or_hybrid_count,regional_festival_offline_or_hybrid_days_est,regional_festival_vague_date_count,beer_festival_count_keyword,beer_festival_days_est_keyword,beer_festival_offline_or_hybrid_count_keyword,events_data_source_note
2022-10,2022,31,10,3,2,12,3,6,2022-10-03 개천절; 2022-10-09 한글날; 2022-10-10 한글날 대체 휴일,0,0,28,10,1,10,10,1,0,0,0,0,0,none,305,856,304,851,210,2,2,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-11,2022,30,8,0,0,8,2,0,none,0,0,0,0,0,6,6,1,11,1,0,11,0,FIFA World Cup Qatar 2022,55,224,55,224,36,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-12,2022,31,9,1,0,9,2,0,2022-12-25 기독탄신일,0,0,0,0,0,0,0,0,18,1,0,18,0,FIFA World Cup Qatar 2022,35,141,35,141,16,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-01,2023,31,9,5,2,11,4,4,2023-01-01 신정연휴; 2023-01-21 설날 전날; 2023-01-22 설날; 2023-01-23 설날 다음날; 2023-01-24 설날 대체 휴일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,24,142,24,142,2,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-02,2023,28,8,0,0,8,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,none,20,76,19,72,3,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-03,2023,31,8,1,1,9,2,0,2023-03-01 삼일절,0,0,0,0,0,0,0,0,0,0,0,0,0,none,50,166,50,166,15,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-04,2023,30,10,0,0,10,2,0,none,0,0,120,26,1,0,0,0,0,0,0,0,0,none,156,570,156,570,63,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-05,2023,31,8,3,2,10,3,6,2023-05-05 어린이날; 2023-05-27 부처님오신날; 2023-05-29 부처님오신날 대체 휴일,0,0,113,26,1,0,0,0,0,0,0,0,0,none,175,706,174,705,69,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-06,2023,30,8,1,1,9,2,0,2023-06-06 현충일,1,0,121,25,1,0,0,0,0,0,0,0,0,none,72,270,72,270,33,2,3,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-07,2023,31,10,0,0,10,2,0,none,1,1,83,20,1,0,0,0,0,0,0,0,0,none,64,325,64,325,31,2,4,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-08,2023,31,8,1,1,9,2,0,2023-08-15 광복절,1,1,113,26,1,0,0,0,0,0,0,0,0,none,97,311,97,311,66,3,4,3,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-09,2023,30,9,3,2,11,6,3,2023-09-28 추석 전날; 2023-09-29 추석; 2023-09-30 추석 다음날,0,0,110,27,1,0,0,0,8,1,0,0,8,Hangzhou 2022 Asian Games (held 2023),157,566,157,566,89,1,1,1,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-10,2023,31,9,3,3,12,6,6,2023-10-02 임시공휴일; 2023-10-03 개천절; 2023-10-09 한글날,0,0,60,17,1,6,6,1,8,1,0,0,8,Hangzhou 2022 Asian Games (held 2023),349,1020,349,1020,212,2,2,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-11,2023,30,8,0,0,8,2,0,none,0,0,0,0,0,8,8,1,0,0,0,0,0,none,63,227,63,227,36,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2023-12,2023,31,10,1,1,11,3,5,2023-12-25 기독탄신일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,52,222,52,222,23,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-01,2024,31,8,1,1,9,3,1,2024-01-01 신정연휴,0,0,0,0,0,0,0,0,0,0,0,0,0,none,23,159,23,159,2,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-02,2024,29,8,4,2,10,4,4,2024-02-09 설날 전날; 2024-02-10 설날; 2024-02-11 설날 다음날; 2024-02-12 설날 대체 휴일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,18,95,18,95,2,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-03,2024,31,10,1,1,11,3,3,2024-03-01 삼일절,0,0,37,8,1,0,0,0,0,0,0,0,0,none,66,231,66,231,19,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-04,2024,30,8,1,1,9,2,0,2024-04-10 국회의원 선거일,0,0,121,25,1,0,0,0,0,0,0,0,0,none,144,434,144,434,76,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-05,2024,31,8,3,2,10,3,3,2024-05-05 어린이날; 2024-05-06 어린이날 대체 휴일; 2024-05-15 부처님오신날,0,0,122,26,1,0,0,0,0,0,0,0,0,none,182,541,182,541,70,2,2,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-06,2024,30,10,1,1,11,2,0,2024-06-06 현충일,1,0,125,26,1,0,0,0,0,0,0,0,0,none,75,219,75,219,39,4,8,4,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-07,2024,31,8,0,0,8,2,0,none,1,1,97,23,1,0,0,0,6,1,6,0,0,Paris 2024 Summer Olympics,64,262,64,262,39,1,1,1,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-08,2024,31,9,1,1,10,2,0,2024-08-15 광복절,1,1,119,27,1,0,0,0,11,1,11,0,0,Paris 2024 Summer Olympics,104,302,104,302,60,3,5,3,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-09,2024,30,9,3,3,12,5,5,2024-09-16 추석 전날; 2024-09-17 추석; 2024-09-18 추석 다음날,0,0,98,27,1,0,0,0,0,0,0,0,0,none,169,491,169,491,100,2,2,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-10,2024,31,8,3,3,11,2,0,2024-10-01 국군의 날; 2024-10-03 개천절; 2024-10-09 한글날,0,0,1,1,1,16,16,1,0,0,0,0,0,none,358,1012,358,1012,226,2,4,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-11,2024,30,9,0,0,9,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,none,59,176,59,176,33,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2024-12,2024,31,9,1,1,10,2,0,2024-12-25 기독탄신일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,58,260,58,260,25,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-01,2025,31,8,5,5,13,6,6,2025-01-01 신정연휴; 2025-01-27 임시공휴일; 2025-01-28 설날 전날; 2025-01-29 설날; 2025-01-30 설날 다음날,0,0,0,0,0,0,0,0,0,0,0,0,0,none,21,191,21,191,1,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-02,2025,28,8,0,0,8,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,none,21,81,21,81,1,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-03,2025,31,10,2,1,11,3,3,2025-03-01 삼일절; 2025-03-03 삼일절 대체 휴일,0,0,39,8,1,0,0,0,0,0,0,0,0,none,83,324,83,324,17,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-04,2025,30,8,0,0,8,2,0,none,0,0,114,25,1,0,0,0,0,0,0,0,0,none,180,710,180,710,53,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-05,2025,31,9,2,2,11,4,4,2025-05-05 부처님오신날; 어린이날; 2025-05-06 부처님오신날 대체 휴일; 어린이날 대체 휴일,0,0,131,26,1,0,0,0,0,0,0,0,0,none,224,996,224,996,58,1,3,1,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-06,2025,30,9,2,2,11,3,3,2025-06-03 대통령 선거일; 2025-06-06 현충일,1,0,111,25,1,0,0,0,0,0,0,0,0,none,89,465,89,465,21,4,12,4,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-07,2025,31,8,0,0,8,2,0,none,1,1,100,21,1,0,0,0,0,0,0,0,0,none,78,418,78,418,40,2,10,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-08,2025,31,10,1,1,11,3,3,2025-08-15 광복절,1,1,127,27,1,0,0,0,0,0,0,0,0,none,130,509,130,509,69,7,19,7,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-09,2025,30,8,0,0,8,2,0,none,0,0,91,28,1,0,0,0,0,0,0,0,0,none,198,868,198,868,70,2,5,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-10,2025,31,8,6,5,13,7,7,2025-10-03 개천절; 2025-10-05 추석 전날; 2025-10-06 추석; 2025-10-07 추석 다음날; 2025-10-08 추석 대체 휴일; 2025-10-09 한글날,0,0,7,4,1,16,16,1,0,0,0,0,0,none,330,1188,330,1188,156,2,2,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-11,2025,30,10,0,0,10,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,none,88,264,88,264,41,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2025-12,2025,31,8,1,1,9,2,0,2025-12-25 기독탄신일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,48,293,48,293,15,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
